id,label,full_name,ring,role,domain,year,assignee,pub_number,priority_date,grant_date,inventors,description
N001,AMP,AMP: Authentication of Media via Provenance,0,origin,media_authenticity,2020,Microsoft Research,ACM MMSys 2021; arXiv:2001.07886,,,"England, Malvar, Horvitz, Jenks, Kane, Wenker et al.","Foundational system for certifying media provenance via signed manifests, permissioned ledger (CCF), and manifest database. Introduced: provenance manifest, assertion graph, authenticity signal UI, consortium governance."
N002,MIA,MIA: Media Integrity & Authentication,0,origin,media_authenticity,2019,Microsoft / Project Origin,,,,"Jenks, England, Wenker, Burke-Aguero, Sharma et al.","Internal Microsoft initiative combining cryptographic file integrity, fragile watermarking, and provenance ledger. Precursor to AMP and C2PA. Introduced: tamper-evident media chain, media integrity assertion."
P001,US11917084,Cryptographic Validation of Media Integrity,1,patent,security,2019,Microsoft Technology Licensing,US11917084B2 / WO2021076382A1,2019-10-16,2024-02-27,"Jenks, Burke-Aguero, Wenker, Sharma",File-level cryptographic hash integrity box inside media container; X.509 certs; per-sample signing for deepfake detection. MIA core integrity assertion. PCT filed as WO2021076382A1.
P002,US12244875,Provenance of Media Content During Live Streaming,1,patent,media_authenticity,2023,Microsoft Technology Licensing,US12244875B2 / US20240314367A1,2023-03-15,2025-03-04,"Jenks, Wenker, Kane, England, Lin, Simmons, Burns",Ephemeral live-stream key pair signed by long-term key; provenance manifest in bitstream; hierarchical temporal granularity (chunk/fragment/segment). Published app: US20240314367A1. C2PA v2.3 live video provenance directly implements this.
P003,US20250175655,Live Streaming Provenance (Continuation),1,patent,media_authenticity,2023,Microsoft Technology Licensing,US20250175655A1,2023-03-15,pending,"Jenks, Wenker, Kane, England, Lin, Simmons, Burns",Continuation of US12244875; broadened claims for provenance manifest and live-stream key hierarchy.
P004,US12086898,Media Provenance Certification via Fragile Watermarking,1,patent,media_authenticity,2019,Microsoft Technology Licensing,US12086898B2,2019-07-12,2024-09-10,"Malvar, England, Horvitz",Fragile watermark keyed to provenance server; destroyed by significant alteration; enables retroactive provenance verification for existing media without prior manifest registration.
P005,US20240403992,Fragile Watermarking Provenance (Continuation),1,patent,media_authenticity,2019,Microsoft Technology Licensing,US20240403992A1,2019-07-12,pending,"Malvar, England, Horvitz",Continuation of US12086898; broadened claims. Soft binding language adopted in C2PA v2.x spec.
P019,US20100153227,Mobile Phone Billing for Content Payment,1,patent,mobile_commerce,2009,Microsoft Corporation,US20100153227A1,2009,N/A,Andrew Jenks,Methods for using mobile phone accounts as a payment mechanism for purchasing digital content. Addresses monetization of content on mobile devices when app stores and carrier billing were nascent. Streamlines carrier/content-provider/consumer relationships. Earliest Jenks Microsoft patent — established content-distribution thinking that informed later provenance work.
P020,US11093586,Presenting Content Protected by Multiple DRMs,1,patent,drm,2018,Microsoft Corporation,US11093586B2 / US20200117772A1,2018,2021-08-17,"Jenks, Wenker, Simmons",Enables a client device configured for DRM-1 to present content protected by DRM-2; brokers license acquisition challenges across heterogeneous DRM environments. Granted US11093586B2 (2021). Core multi-DRM interoperability architecture — distinctive cross-DRM license brokering vocabulary adopted widely in OTT space.
P021,US20240265071,VDI Security via Video & Input Pipelines,1,patent,vdi_security,2023,Microsoft Corporation,US20240265071A1 / US20240265072A1 / WO2024167720A1 / EP4662578A1,2023,pending,Andrew Jenks,Security techniques leveraging video rendering and user input pipelines of VDI environments. Secured video pipeline + secured input pipeline resist data leaks even when edge device is compromised. PCT: WO2024167720A1; EP: EP4662578A1. Family 5 in Jenks 5-family portfolio.
